id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
53817822,Home in Nuriootpa · ★4.86 · 1 bedroom · 1 bed · 1 private bath,140687491,Anna,,Nuriootpa,-34.47498,138.99216,Private room,92,1,37,2023-06-18,2.04,1,348,16,,Barossa Valley
54151696,Farm stay in Mount Crawford · ★4.66 · 2 bedrooms · 3 beds · 1 bath,439026671,Kate,,Mount Crawford,-34.72912,138.96318,Entire home/apt,174,2,35,2023-05-29,2.52,1,310,27,,Barossa Valley
54187049,Home in Nuriootpa · ★4.86 · 3 bedrooms · 5 beds · 2.5 baths,439331891,Emma&Roger,,Nuriootpa,-34.46914,138.96758,Entire home/apt,292,2,22,2023-05-11,1.40,8,43,18,,Barossa Valley
542934522374568605,Guest suite in Tanunda · 5 bedrooms · 9 beds · 3 baths,9380091,Kym,,Tanunda,-34.52837,138.95421,Private room,300,2,0,,,14,117,0,,Barossa Valley
563854793233301758,Vacation home in Lyndoch · ★4.71 · 2 bedrooms · 3 beds · 1 bath,10421165,Mark And Fiona,,Lyndoch,-34.60445,138.88233,Entire home/apt,199,2,14,2023-05-28,1.04,2,319,10,,Barossa Valley
597299948635932099,Cottage in Hamilton · 2 bedrooms · 2 beds · 2 baths,383527612,Jean-Claude,,Kapunda,-34.23201,138.97174,Entire home/apt,402,1,1,2023-02-26,0.25,7,335,1,,Barossa Valley
598893796161066227,Home in Tanunda · ★5.0 · 3 bedrooms · 4 beds · 1 bath,91611833,Shannon,,Tanunda,-34.525082,138.955566,Entire home/apt,493,2,58,2023-06-12,4.01,1,306,46,,Barossa Valley
601803388917014503,Home in Tanunda · ★New · 2 bedrooms · 2 beds · 1.5 baths,552403,Nicky,,Tanunda,-34.52838,138.95891,Entire home/apt,240,2,0,,,1,364,0,,Barossa Valley
610466336457949581,Home in Penrice · ★4.86 · 3 bedrooms · 3 beds · 1.5 baths,428181353,Tita,,Penrice,-34.487904,139.033661,Entire home/apt,253,2,37,2023-06-12,2.78,1,342,35,,Barossa Valley
611369443768980724,Home in Angaston · ★4.89 · 3 bedrooms · 3 beds · 1 bath,455612017,Stacey,,Angaston,-34.508907,139.043564,Entire home/apt,152,1,19,2023-06-12,1.50,1,174,18,,Barossa Valley
611659077132662185,Bungalow in Angaston · ★4.67 · 3 bedrooms · 5 beds · 2 baths,24432943,Alexandra,,Angaston,-34.50316,139.04548,Entire home/apt,210,2,6,2023-06-12,1.31,2,320,6,,Barossa Valley
623438660532088604,Cottage in Tanunda · ★4.93 · 2 bedrooms · 2 beds · 2 baths,27555575,Lisa,,Tanunda,-34.52648,138.95387,Entire home/apt,310,2,61,2023-06-21,5.18,1,191,61,,Barossa Valley
625072901481223153,Cottage in Angaston · ★4.72 · 2 bedrooms · 2 beds · 1.5 baths,63139941,Charlotte,,Angaston,-34.49822,139.0426,Entire home/apt,230,2,39,2023-06-08,3.06,1,267,36,,Barossa Valley
634520727307763774,Home in Rowland Flat · ★5.0 · 6 bedrooms · 9 beds · 4 baths,460856186,Awesome,,Altona,-34.59003,138.93501,Entire home/apt,1200,1,5,2023-04-23,0.51,4,352,5,,Barossa Valley
637886639776162642,Rental unit in Tanunda · ★4.14 · Studio · 1 bed · 1 bath,461601857,The Wine,,Tanunda,-34.51356,138.97308,Entire home/apt,208,1,14,2023-04-24,1.22,7,355,14,,Barossa Valley
637906590837702599,Rental unit in Tanunda · 1 bedroom · 2 beds · 1 bath,461601857,The Wine,,Tanunda,-34.51365,138.97128,Entire home/apt,203,1,2,2022-11-20,0.27,7,360,2,,Barossa Valley
637911090164505078,Rental unit in Tanunda · 1 bedroom · 2 beds · 1 bath,461601857,The Wine,,Tanunda,-34.51401,138.97144,Entire home/apt,254,1,2,2023-04-07,0.27,7,361,2,,Barossa Valley
637920461053069878,Rental unit in Tanunda · ★4.0 · 1 bedroom · 1 bed · 1 bath,461601857,The Wine,,Tanunda,-34.51574,138.97087,Entire home/apt,261,1,6,2023-04-01,0.55,7,355,6,,Barossa Valley
637922201318817861,Rental unit in Tanunda · 1 bedroom · 1 bed · 1 bath,461601857,The Wine,,Tanunda,-34.51353,138.97079,Entire home/apt,260,1,0,,,7,357,0,,Barossa Valley
637928149292994175,Rental unit in Tanunda · 1 bedroom · 2 beds · 1 bath,461601857,The Wine,,Tanunda,-34.51493,138.97129,Entire home/apt,241,1,1,2022-12-07,0.15,7,351,1,,Barossa Valley
637931106243766297,Rental unit in Tanunda · ★3.25 · 1 bedroom · 3 beds · 1 bath,461601857,The Wine,,Tanunda,-34.51392,138.9728,Entire home/apt,263,1,4,2022-12-03,0.33,7,359,3,,Barossa Valley
642268024740404371,Cottage in Angaston · ★4.97 · 1 bedroom · 1 bed · 1.5 baths,461929112,Marilyn And Adam,,Angaston,-34.50089,139.05253,Entire home/apt,269,2,35,2023-06-12,2.88,1,271,35,,Barossa Valley
646541825645212790,Cottage in Flaxman Valley · ★4.82 · 2 bedrooms · 2 beds · 1 bath,234210445,Song,,Flaxman Valley,-34.65001,139.06091,Entire home/apt,190,2,17,2023-06-12,1.39,1,345,16,,Barossa Valley
657633783007400043,Home in Rowland Flat · ★4.82 · 4 bedrooms · 6 beds · 2 baths,460856186,Awesome,,Altona,-34.59327,138.92714,Entire home/apt,800,1,17,2023-06-17,1.45,4,355,17,,Barossa Valley
666183097301109965,Home in Rowland Flat · ★4.88 · 5 bedrooms · 7 beds · 5 baths,460856186,Awesome,,Altona,-34.57401,138.94153,Entire home/apt,853,1,24,2023-06-12,2.08,4,341,24,,Barossa Valley
668396960497325094,Villa in Lyndoch · ★5.0 · 5 bedrooms · 5 beds · 5.5 baths,460856186,Awesome,,Lyndoch,-34.57538,138.87473,Entire home/apt,1214,1,9,2023-05-31,0.91,4,89,9,,Barossa Valley
674136485566649262,Cottage in Angaston · ★4.87 · 3 bedrooms · 3 beds · 1 bath,462115682,Jane,,Angaston,-34.5055,139.04626,Entire home/apt,434,1,23,2023-06-12,2.12,1,342,23,,Barossa Valley
674946640582232212,Cottage in Angaston · 1 bedroom · 1 bed · 1 bath,88080137,Georgie,,Angaston,-34.49829,139.04183,Entire home/apt,245,2,0,,,2,81,0,,Barossa Valley
674946704428630052,Cottage in Angaston · ★5.0 · 1 bedroom · 1 bed · 1 bath,88080137,Georgie,,Angaston,-34.49881,139.04178,Entire home/apt,270,2,4,2023-06-24,0.37,2,98,4,,Barossa Valley
679330074770382060,casa particular in Gawler West · ★4.33 · 1 bedroom · 1 bed · 1.5 shared baths,124017088,Michelle,,Buchfelde,-34.600042942479774,138.73399168252945,Private room,92,1,12,2023-06-18,1.08,1,88,12,,Barossa Valley
685039112890901249,Tiny home in Kapunda · ★4.81 · 1 bedroom · 1 bed · 1 bath,154813436,Tiny Away,,Kapunda,-34.34246,138.90482,Entire home/apt,225,1,21,2023-05-28,2.35,1,358,21,,Barossa Valley
694004921616356584,Cottage in Tanunda · ★5.0 · 2 bedrooms · 4 beds · 1 bath,475104337,Vic And Sandi,,Tanunda,-34.52947,138.95115,Entire home/apt,260,2,5,2023-05-28,0.87,1,33,5,,Barossa Valley
701030563032420807,Guest suite in Nuriootpa · ★4.90 · 1 bedroom · 1 bed · 1 bath,402141220,Hewitson Winery,,Nuriootpa,-34.49453,138.97865,Entire home/apt,346,1,20,2023-06-12,2.07,4,346,20,,Barossa Valley
702031267609659440,Guest suite in Bethany · ★4.0 · Studio · 1 bed · 1 bath,439331891,Emma&Roger,,Bethany,-34.55362,138.97854,Entire home/apt,103,1,5,2023-02-04,0.57,8,120,5,,Barossa Valley
703395754090693752,Guest suite in Bethany · ★4.86 · 1 bedroom · 2 beds · 1 bath,439331891,Emma&Roger,,Bethany,-34.55359,138.97797,Entire home/apt,120,1,7,2023-05-27,0.81,8,99,7,,Barossa Valley
703872734491160951,Guest suite in Bethany · ★4.67 · 1 bedroom · 2 beds · 1 bath,439331891,Emma&Roger,,Bethany,-34.55279,138.97718,Entire home/apt,120,1,15,2023-05-29,1.98,8,101,15,,Barossa Valley
703873092978064872,Guest suite in Bethany · ★4.46 · Studio · 1 bed · 1 bath,439331891,Emma&Roger,,Bethany,-34.55455,138.97926,Entire home/apt,103,1,13,2023-06-04,1.41,8,123,13,,Barossa Valley
703873217398549559,Guest suite in Bethany · ★4.29 · Studio · 1 bed · 1 bath,439331891,Emma&Roger,,Bethany,-34.5528,138.97784,Entire home/apt,103,1,7,2023-05-30,0.80,8,126,7,,Barossa Valley
703873326508107679,Guest suite in Bethany · ★4.41 · Studio · 1 bed · 0 baths,439331891,Emma&Roger,,Bethany,-34.55494,138.97807,Entire home/apt,140,1,17,2023-05-30,1.75,8,66,17,,Barossa Valley
706793228615597287,Home in Tanunda · ★4.94 · 3 bedrooms · 3 beds · 1 bath,175722042,Alex,,Tanunda,-34.5354566,138.95152,Entire home/apt,189,2,34,2023-06-23,4.30,1,202,34,,Barossa Valley
714091918722300599,Villa in Tanunda · ★5.0 · 5 bedrooms · 5 beds · 5 baths,479155405,Sally And Cathie,,Tanunda,-34.52294851715476,138.95535176322934,Entire home/apt,2300,2,3,2023-06-07,0.74,2,316,3,,Barossa Valley
715671869674731648,Guesthouse in Springton · ★5.0 · 1 bedroom · 2 beds · 1 bath,93219392,Evelyn,,Eden Valley,-34.68654,139.09146,Entire home/apt,185,1,8,2023-06-18,1.53,2,269,8,,Barossa Valley
718469772693217183,Farm stay in Mount Pleasant · ★5.0 · 1 bedroom · 1 bed · 1 bath,184466221,Susan,,Mount Pleasant,-34.7791637642793,139.04115591198206,Entire home/apt,174,1,11,2023-06-11,1.32,1,291,11,,Barossa Valley
719047800996826519,Farm stay in Stone Well · ★5.0 · 4 bedrooms · 4 beds · 2.5 baths,480091620,Maple,,Tanunda,-34.50115,138.95877,Entire home/apt,758,2,3,2023-04-10,0.50,1,178,3,,Barossa Valley
721093381238847388,Guesthouse in Marananga · 1 bedroom · 1 bed · 1 bath,275161574,Wendy,,Marananga,-34.48506,138.93849,Entire home/apt,332,2,2,2023-05-28,0.69,2,317,2,,Barossa Valley
730052627340589289,Guest suite in Angaston · ★4.89 · 1 bedroom · 1 bed · 1 private bath,384908171,Josh And Jen,,Moculta,-34.50764,139.05808,Private room,154,2,9,2023-06-18,3.38,1,141,9,,Barossa Valley
741764023269405028,Villa in Nuriootpa · ★5.0 · 5 bedrooms · 5 beds · 3 baths,82430837,Shane,,Nuriootpa,-34.4915714,138.9647129,Entire home/apt,1000,2,7,2023-06-04,1.01,1,344,7,,Barossa Valley
747532233690769175,Guesthouse in Williamstown · ★4.94 · Studio · 1 bed · 1 bath,69323160,Chelsea,,Williamstown,-34.690289509990635,138.88428203707855,Entire home/apt,136,1,50,2023-06-25,7.28,1,246,50,,Barossa Valley
752288334648314435,Home in Tanunda · ★4.87 · 3 bedrooms · 4 beds · 1.5 baths,486246058,Carolyn,,Tanunda,-34.53263,138.95184,Entire home/apt,438,3,15,2023-06-25,2.49,1,333,15,,Barossa Valley
756604947669191472,Villa in Tanunda · 5 bedrooms · 5 beds · 5.5 baths,479155405,Sally And Cathie,,Tanunda,-34.52313,138.95258,Entire home/apt,3743,3,0,,,2,149,0,,Barossa Valley
758045124157492083,Home in Tanunda · ★4.77 · 2 bedrooms · 2 beds · 1.5 baths,61713490,Kerry,,Tanunda,-34.5273725987876,138.95579393953085,Entire home/apt,259,2,13,2023-05-08,2.11,1,25,13,,Barossa Valley
759155804904701797,Rental unit in Angaston · 2 bedrooms · 4 beds · 1 bath,487505306,Anne-Marie,,Angaston,-34.49997247080307,139.05090309259035,Entire home/apt,241,2,0,,,4,320,0,,Barossa Valley
759182781379305366,Rental unit in Angaston · 2 bedrooms · 3 beds · 1 bath,487505306,Anne-Marie,,Angaston,-34.500007838466324,139.05094600793458,Entire home/apt,248,2,0,,,4,307,0,,Barossa Valley
759792078949787887,Villa in Bethany · ★4.50 · 3 bedrooms · 3 beds · 2 baths,439331891,Emma&Roger,,Bethany,-34.55312,138.9787,Entire home/apt,221,1,14,2023-05-23,2.33,8,105,14,,Barossa Valley
763963393371961799,Cottage in Tanunda · ★5.0 · 2 bedrooms · 2 beds · 1 bath,49528952,Rainer,,Tanunda,-34.521603,138.9535283,Entire home/apt,320,2,31,2023-06-18,4.49,1,151,31,,Barossa Valley
764806740959532527,Villa in Mount Pleasant · 1 bedroom · 1 bed · 1 bath,488554818,Ronald,,Mount Pleasant,-34.7432,139.11408,Entire home/apt,189,2,2,2022-12-28,0.33,11,0,2,,Barossa Valley
765505805955518946,Villa in Mount Pleasant · 1 bedroom · 1 bed · 1 bath,488554818,Ronald,,Mount Pleasant,-34.74366,139.11443,Entire home/apt,220,1,0,,,11,167,0,,Barossa Valley
765511427520869839,Villa in Mount Pleasant · 1 bedroom · 1 bed · 1 bath,488554818,Ronald,,Mount Pleasant,-34.74169,139.11273,Entire home/apt,220,1,0,,,11,167,0,,Barossa Valley
765553036302923066,Villa in Mount Pleasant · 1 bedroom · 2 beds · 1 bath,488554818,Ronald,,Mount Pleasant,-34.74193,139.11399,Entire home/apt,250,1,1,2023-04-16,0.41,11,167,1,,Barossa Valley
765612429537610683,Villa in Mount Pleasant · 1 bedroom · 2 beds · 1 bath,488554818,Ronald,,Mount Pleasant,-34.74348,139.11438,Entire home/apt,273,1,0,,,11,167,0,,Barossa Valley
765619654140788793,Villa in Mount Pleasant · 1 bedroom · 1 bed · 1 bath,488554818,Ronald,,Mount Pleasant,-34.74155,139.1129,Entire home/apt,300,1,1,2023-04-23,0.45,11,167,1,,Barossa Valley
765621209399910899,Home in Mount Pleasant · 2 bedrooms · 2 beds · 2 baths,488554818,Ronald,,Mount Pleasant,-34.7431,139.1132,Entire home/apt,650,1,1,2023-04-08,0.37,11,167,1,,Barossa Valley
765624869411604383,Villa in Mount Pleasant · 2 bedrooms · 2 beds · 1 bath,488554818,Ronald,,Mount Pleasant,-34.74222,139.11484,Entire home/apt,486,1,1,2023-04-23,0.45,11,167,1,,Barossa Valley
773319715411149829,Home in Kapunda · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,490005598,Marlina,,Kapunda,-34.34015,138.91199,Private room,60,2,3,2023-03-24,0.49,2,11,3,,Barossa Valley
773444765236574058,Home in Kapunda · 1 bedroom · 1 bed · 1 shared bath,490005598,Marlina,,Kapunda,-34.34162,138.91201,Private room,50,2,2,2023-01-06,0.33,2,108,2,,Barossa Valley
781290494667105373,Home in Tanunda · ★5.0 · 2 bedrooms · 3 beds · 1 bath,491342431,Alex,,Tanunda,-34.5203488,138.9656976,Entire home/apt,330,2,22,2023-06-12,4.85,1,312,22,,Barossa Valley
783490048796437005,Bungalow in Tanunda · ★4.73 · 3 bedrooms · 4 beds · 1 bath,107089614,Lucia,,Tanunda,-34.514579,138.977819,Entire home/apt,206,1,11,2023-06-25,2.44,1,346,11,,Barossa Valley
784244778617200952,Rental unit in Angaston · 2 bedrooms · 3 beds · 1 bath,487505306,Anne-Marie,,Angaston,-34.50004320611457,139.05103183862306,Entire home/apt,285,2,0,,,4,332,0,,Barossa Valley
784276873901035135,Rental unit in Angaston · 2 bedrooms · 4 beds · 1 bath,487505306,Anne-Marie,,Angaston,-34.49999015463658,139.05101038095094,Entire home/apt,280,2,0,,,4,323,0,,Barossa Valley
792322179365209191,Villa in Mount Pleasant · 8 bedrooms · 10 beds · 5.5 baths,488554818,Ronald,,Mount Pleasant,-34.74345,139.11456,Entire home/apt,999,2,2,2023-05-31,0.74,11,72,2,,Barossa Valley
792356113015735467,Villa in Mount Pleasant · 5 bedrooms · 1 bed · 2.5 baths,488554818,Ronald,,Mount Pleasant,-34.74357,139.11264,Entire home/apt,583,1,0,,,11,167,0,,Barossa Valley
792371126158972761,Villa in Mount Pleasant · 3 bedrooms · 5 beds · 3 baths,488554818,Ronald,,Mount Pleasant,-34.74159,139.114,Entire home/apt,600,1,0,,,11,167,0,,Barossa Valley
792372489987708648,Guesthouse in Gawler River · ★4.74 · 2 bedrooms · 2 beds · 1 bath,493274930,Yvonne,,Gawler River,-34.62867,138.6437,Entire home/apt,165,1,23,2023-06-23,4.29,1,357,23,,Barossa Valley
794335948088291886,Guesthouse in Kapunda · ★5.0 · 2 bedrooms · 3 beds · 1 bath,493655266,Michelle,,Kapunda,-34.3602,138.8907,Entire home/apt,200,2,8,2023-06-12,3.04,1,312,8,,Barossa Valley
798143975652518850,Tiny home in Cromer Barossa · ★5.0 · 1 bedroom · 1 bed · 1 bath,85597526,Tracy,,Mount Crawford,-34.771432,138.977761,Entire home/apt,250,1,29,2023-06-25,5.72,2,354,29,,Barossa Valley
803889383750048082,Home in Lyndoch · ★5.0 · 4 bedrooms · 5 beds · 2 baths,495954773,Filomena,,Lyndoch,-34.6064501,138.8820816,Entire home/apt,313,2,3,2023-06-12,0.69,1,352,3,,Barossa Valley
804036658904390423,Home in Tanunda · 5 bedrooms · 6 beds · 2 baths,206127681,Megan,,Tanunda,-34.51218,138.97548,Entire home/apt,980,2,2,2023-06-25,0.94,1,268,2,,Barossa Valley
812465538310166564,Bed and breakfast in Kapunda · ★5.0 · 1 bedroom · 2 beds · 1 private bath,86727693,Susan,,Kapunda,-34.33822,138.91862,Private room,250,1,4,2023-05-28,1.00,3,348,4,,Barossa Valley
815514103907302166,Tent in Seppeltsfield · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48908,138.92294,Entire home/apt,330,1,2,2023-04-10,0.73,8,349,2,,Barossa Valley
815516113841270903,Tent in Seppeltsfield · ★3.75 · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48736,138.92421,Entire home/apt,330,1,4,2023-05-24,1.71,8,347,4,,Barossa Valley
815520308911596745,Tent in Seppeltsfield · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48777,138.92504,Entire home/apt,330,1,2,2023-05-13,0.75,8,346,2,,Barossa Valley
815521436422254325,Tent in Seppeltsfield · ★4.33 · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48924,138.92363,Entire home/apt,330,1,3,2023-06-04,1.36,8,333,3,,Barossa Valley
815522605349287142,Tent in Seppeltsfield · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48937,138.92421,Entire home/apt,330,1,0,,,8,347,0,,Barossa Valley
818346280706439704,Home in Lyndoch · 12 bedrooms · 12 beds · 11 baths,499283772,Andrew,,Lyndoch,-34.57512,138.86588,Entire home/apt,2500,2,0,,,1,251,0,,Barossa Valley
821437484393218459,Bed and breakfast in Kapunda · 2 bedrooms · 3 beds · 2 baths,86727693,Susan,,Kapunda,-34.3381,138.92034,Private room,450,1,0,,,3,336,0,,Barossa Valley
821920419282972252,Home in Tanunda · ★4.87 · 2 bedrooms · 2 beds · 1 bath,78710746,Emma,,Tanunda,-34.53751,138.95358,Entire home/apt,323,2,15,2023-06-07,4.69,2,271,15,,Barossa Valley
822930476514810622,Home in Tanunda · ★5.0 · 1 bedroom · 1 bed · 1 private bath,47672122,Jo,,Tanunda,-34.52381,138.95723,Private room,176,1,12,2023-06-18,3.33,1,106,12,,Barossa Valley
824178348921213322,Home in Nuriootpa · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,398692841,Kylie,,Nuriootpa,-34.46536,138.98043,Entire home/apt,280,1,16,2023-06-18,3.90,1,201,16,,Barossa Valley
824789965710980308,Home in Tanunda · ★5.0 · 3 bedrooms · 3 beds · 2 baths,500655156,Lisa,,Tanunda,-34.5124438368938,138.9775788411498,Entire home/apt,363,2,5,2023-06-12,2.24,1,169,5,,Barossa Valley
825038296557859465,Home in Tanunda · ★5.0 · 2 bedrooms · 3 beds · 1 bath,175822582,Josh,,Tanunda,-34.5267025,138.9571473,Entire home/apt,450,1,12,2023-06-20,3.36,3,339,12,,Barossa Valley
825047876832990063,Rental unit in Tanunda · ★5.0 · 2 bedrooms · 3 beds · 1 bath,175822582,Josh,,Tanunda,-34.5267025,138.9571473,Entire home/apt,450,1,8,2023-06-25,2.55,3,345,8,,Barossa Valley
825630229231840810,Guesthouse in Marananga · 1 bedroom · 1 bed · 1 bath,275161574,Wendy,,Marananga,-34.48418,138.93898,Entire home/apt,354,1,0,,,2,323,0,,Barossa Valley
829062794074578427,Home in Nuriootpa · ★5.0 · 3 bedrooms · 3 beds · 3.5 baths,156498827,Wenli & Dominic,,Nuriootpa,-34.47429,138.94424,Entire home/apt,657,1,8,2023-06-10,2.45,1,169,8,,Barossa Valley
832029740889145365,Cabin in Marananga · ★4.33 · 1 bedroom · 3 beds · 1 bath,497989134,Cabn,,Marananga,-34.50419,138.9327,Entire home/apt,320,1,3,2023-05-20,1.18,8,307,3,,Barossa Valley
832043904378090270,Cabin in Marananga · ★5.0 · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.50408,138.93048,Entire home/apt,304,1,4,2023-06-14,1.35,8,302,4,,Barossa Valley
845922754899608416,Cottage in Kapunda · ★New · 3 bedrooms · 3 beds · 1 bath,335068302,Juliet,,Kapunda,-34.301957,138.8542431,Entire home/apt,335,2,2,2023-06-12,2,1,361,2,,Barossa Valley
848070741154984852,Home in Greenock · ★4.75 · 3 bedrooms · 5 beds · 1.5 baths,505423341,Mitchell,,Greenock,-34.45791,138.93141,Entire home/apt,361,2,4,2023-06-11,1.82,1,354,4,,Barossa Valley
855244046779105277,Home in Vine Vale · ★4.80 · 4 bedrooms · 7 beds · 3 baths,469195852,Karen,,Angaston,-34.510605,139.019844,Entire home/apt,900,2,5,2023-06-25,1.88,1,315,5,,Barossa Valley
859856068881777318,Home in Tanunda · 3 bedrooms · 5 beds · 2 baths,241630453,Melissa,,Tanunda,-34.51673,138.96701,Entire home/apt,320,2,0,,,2,235,0,,Barossa Valley
884565926441716482,Home in Eden Valley · ★5.0 · 1 bedroom · 2 beds · 1 bath,57979524,Georgie,,Eden Valley,-34.638353774065166,139.09871242940426,Entire home/apt,189,2,3,2023-06-12,2.43,1,165,3,,Barossa Valley
886458452855579093,Cottage in Lyndoch · ★New · 3 bedrooms · 3 beds · 1 bath,444700361,Amy,,Lyndoch,-34.601818295509545,138.88767567976225,Entire home/apt,238,2,0,,,1,0,0,,Barossa Valley
886723096462681317,Guest suite in Nuriootpa · ★5.0 · 1 bedroom · 1 bed · 1 bath,507533752,Garry,,Nuriootpa,-34.48203,138.99297,Entire home/apt,210,2,5,2023-06-21,5,1,291,5,,Barossa Valley
892251887601842416,Home in Nuriootpa · ★New · 5 bedrooms · 6 beds · 3 baths,284867983,Rosa,,Nuriootpa,-34.46841,138.957,Entire home/apt,1495,2,0,,,2,328,0,,Barossa Valley
910502962189532573,Home in Tanunda · ★New · 3 bedrooms · 3 beds · 2 baths,19654974,Rosie,,Tanunda,-34.51049,138.96668,Entire home/apt,347,2,0,,,1,120,0,,Barossa Valley
910682658818665405,Guest suite in Angaston · ★New · 2 bedrooms · 2 beds · 1 bath,496094184,Rebekah Bianca,,Angaston,-34.500722,139.049761,Entire home/apt,199,1,0,,,1,289,0,,Barossa Valley
913230078821818136,Home in Lyndoch · ★New · 4 bedrooms · 7 beds · 2.5 baths,165139718,Janet,,Lyndoch,-34.58306,138.87635,Entire home/apt,590,2,0,,,1,355,0,,Barossa Valley
914716018649867579,Cabin in Seppeltsfield · ★New · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48872,138.92192,Entire home/apt,838,2,0,,,8,290,0,,Barossa Valley
